16 16
3
5
7
7 7
0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
0; 0; 0; 0; 0; 5; 0; 0; 5; 1; 1; 1; 0; 0; 0; 0
0; 5; 5P; 5; 5; 5; 5; 0; 5; 1; 1; 1; 1; 1; 1; 0
0; 5; 5; 5; 5; 5; 5; 5; 5; 1; 1M; 1; 1P; 1; 1; 0
0; 5; 5; 5; 5; 5; 5; 5; 5; 1; 1M; 1M; 1; 1; 1; 1
5; 5; 5; 5; 5; 5; 5; 5; 5; 1; 1; 1M; 1M; 1; 1; 0
0; 3; 3P; 3; 4; 4; 4; 4; 4; 2M; 2M; 2; 2; 2; 2; 2
0; 3; 3; 3; 4; 4; 4; 4; 4M; 2; 2; 2; 2; 2; 2; 0
3; 3; 3; 3; 4; 4; 4; 4; 4M; 4M; 2; 2; 2; 2; 2; 2
3; 3; 3; 3; 4; 4; 4; 4; 4M; 4M; 2; 2; 2; 2; 2; 2
3; 3; 3; 3; 4; 4; 4; 4; 4; 4; 2; 2; 2; 2; 2; 2
3; 3; 3; 3; 4; 4; 4; 4; 4; 4; 2P; 2; 2; 2; 2; 0
3; 3; 3; 3; 6; 6; 6P; 6; 6; 6; 2; 2; 2; 2; 2; 0
3; 6; 6; 6; 6; 6; 6; 6; 6; 6; 2; 2; 2; 2; 2; 0
3; 6; 6; 6; 6; 6; 6; 6; 6; 6; 2; 2; 2; 2; 2; 0
